fold,split,q3,f1_H,f1_E,f1_C,sov_H,sov_E,sov_C
1,val,0.8172370542913456,0.8736528319192846,0.7632729544034977,0.7907716785998408,80.59328530999943,71.24965130532412,69.59758745762184
2,val,0.8234845919403996,0.8793373628833668,0.7849779086892489,0.7921797364441564,80.27898270993505,73.3697056356646,69.99241163723448
3,val,0.8404191013499899,0.8939041414611447,0.8086804689448741,0.7945356699323858,84.14078119785766,76.68709645499372,71.4001340081776
4,val,0.8043683812405447,0.8567511994516792,0.7567567567567567,0.7730821663155286,79.48253317438005,74.39660180957323,67.22055546783885
5,val,0.8206253428414702,0.8697566344625168,0.7987169206094626,0.7870508552405006,83.14149272465397,76.24307377402017,71.06704614161214
